source,members,n_members,train_n,train_mae,train_rmse,train_r2,train_accuracy_at_thresh,test_n,test_mae,test_rmse,test_r2,test_accuracy_at_thresh
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,7,163,0.12121744674725611,0.1499706085874918,0.9855737536851543,1.0,41,0.39892633976213804,0.5555491161263985,0.7769476245086907,0.7317073170731707
ensemble,Chemberta Embeddings__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso,6,163,0.12516194699493682,0.15706544937535438,0.9841765070546274,1.0,41,0.4066185550750825,0.5556544217197894,0.7768630563283404,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__SVR_RBF,9,163,0.1243121194996456,0.15238162797525578,0.9851061747650709,1.0,41,0.3973668548289601,0.5559977009025555,0.7765872664647329,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,5,163,0.11192631005028471,0.13538639174190578,0.9882431476818517,1.0,41,0.40163887705031137,0.5560061661805623,0.7765804633240219,0.7317073170731707
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__SVR_RBF,8,163,0.13721803935011473,0.1684299437442209,0.9818038443740119,1.0,41,0.39738835586462007,0.5564259247222036,0.7762429934713612,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso,5,163,0.1150479355274579,0.1427002699044623,0.9869385730916131,1.0,41,0.41340010477985606,0.556475592788931,0.7762030453904,0.6341463414634146
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso,7,163,0.144785862803432,0.18146001959346159,0.9788795609400103,1.0,41,0.3964852375141262,0.5566182623950402,0.7760882762369306,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,8,163,0.1331601755538657,0.16246575388673,0.9830696983663274,1.0,41,0.4086977277750393,0.5566751925316528,0.7760424711393492,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso,8,163,0.1293376268849038,0.1617747422291449,0.9832134105752472,1.0,41,0.3960302601437779,0.5568786999610045,0.77587869394022,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,7,163,0.16135896859901122,0.2025813297342911,0.9736767280622048,0.9754601226993865,41,0.39659801184281607,0.5571306641386946,0.775675837139054,0.7073170731707317
